# Constructed from biom file
#OTU ID	201406.WB.1A.SO	201406.WB.1B.SO	201406.WB.1C.SO	201406.WB.2A.SO	201406.WB.2B.SO	201406.WB.2C.SO	201406.WB.3A.SO	201406.WB.3B.SO	201406.WB.3C.SO	201406.WB.4A.SO	201406.WB.4B.SO	201406.WB.4C.SO	201506.WB.1A.S	201506.WB.1B.S	201506.WB.1C.S	201506.WB.2A.S	201506.WB.2B.S	201506.WB.2C.S	201506.WB.4A.S	201506.WB.4B.S	201506.WB.4C.S	201506.WB.6A.S	201506.WB.6B.S	201506.WB.6C.S	201507.WB.1A.S	201507.WB.1B.S	201507.WB.1C.S	201507.WB.2A.S	201507.WB.2B.S	201507.WB.2C.S	201507.WB.4A.S	201507.WB.4B.S	201507.WB.4C.S	201507.WB.6A.S	201509.WB.1A.S	201509.WB.1B.S	201509.WB.1C.S	201509.WB.2A.S	201509.WB.2B.S	201509.WB.2C.S	201509.WB.4A.S	201509.WB.4B.S	201509.WB.4C.S	201509.WB.6A.S	201509.WB.6B.S	201509.WB.6C.S	201601.WB.1A.S	201601.WB.1B.S	201601.WB.1C.S	201601.WB.2A.S	201601.WB.2B.S	201601.WB.2C.S	201601.WB.4A.S	201601.WB.4B.S	201601.WB.4C.S	201601.WB.6B.S	201601.WB.6C.S	taxonomy
AF157007.1.1782	0.0	0.0	0.0	406.0	587.0	2830.0	20790.0	13126.0	9583.0	13215.0	18446.0	11128.0	16635.0	5824.0	11219.0	18284.0	4778.0	10950.0	453.0	878.0	1704.0	7.0	0.0	0.0	4929.0	10549.0	4880.0	3751.0	14407.0	5309.0	8.0	14.0	549.0	0.0	15721.0	17357.0	34285.0	20580.0	27783.0	49479.0	138.0	6361.0	5642.0	0.0	6.0	0.0	19.0	0.0	0.0	26.0	0.0	7.0	9.0	0.0	6.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa; Gastrotricha; Gastrotricha_X; Gastrotricha_XX; Turbanella; Turbanella_cornuta
JX457431.1.1525	228.0	93.0	116.0	457.0	1394.0	1466.0	3618.0	2730.0	4003.0	2554.0	2184.0	1499.0	179.0	113.0	106.0	286.0	231.0	244.0	119.0	76.0	152.0	67.0	42.0	27.0	4573.0	6307.0	3976.0	25274.0	13816.0	13878.0	13629.0	16257.0	21620.0	7657.0	62.0	44.0	8.0	112.0	51.0	41.0	296.0	216.0	454.0	660.0	828.0	703.0	67.0	457.0	82.0	345.0	4.0	91.0	92.0	34.0	122.0	39.0	13.0	Eukaryota; Archaeplastida; Chlorophyta; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_XX_sp.
KJ636214.1.1695	160.0	1320.0	401.0	14688.0	9905.0	8445.0	4245.0	3399.0	2787.0	2720.0	647.0	2380.0	40.0	836.0	308.0	796.0	979.0	711.0	5726.0	6094.0	5653.0	5761.0	6903.0	5974.0	389.0	693.0	475.0	1044.0	1721.0	668.0	2409.0	2047.0	2011.0	743.0	1474.0	623.0	105.0	23.0	0.0	694.0	7360.0	4854.0	8624.0	3.0	5.0	0.0	0.0	19.0	317.0	0.0	0.0	1987.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa; Nematoda; Chromadorea; Chromadorea_X; Chromadorita; Chromadorita_leuckarti
GU385623.1.1694	1230.0	513.0	178.0	422.0	641.0	1066.0	231.0	210.0	330.0	310.0	212.0	394.0	838.0	965.0	693.0	853.0	1141.0	1099.0	1229.0	1118.0	1307.0	85.0	89.0	63.0	540.0	741.0	465.0	269.0	205.0	357.0	949.0	1107.0	1186.0	1817.0	1993.0	1788.0	1101.0	2737.0	2335.0	1309.0	2922.0	3649.0	6435.0	979.0	1755.0	1613.0	1106.0	8369.0	1741.0	4552.0	920.0	1801.0	439.0	154.0	1471.0	280.0	622.0	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Raphid-pennate; Navicula; Navicula_lanceolata
KC771157.1.1774	134.0	134.0	65.0	81.0	220.0	221.0	54.0	37.0	51.0	62.0	36.0	38.0	459.0	671.0	392.0	524.0	599.0	655.0	1012.0	914.0	668.0	66.0	67.0	35.0	155.0	227.0	126.0	133.0	111.0	95.0	443.0	387.0	358.0	308.0	1025.0	993.0	705.0	1219.0	1229.0	449.0	2767.0	2229.0	3832.0	566.0	795.0	1866.0	794.0	7601.0	400.0	4356.0	616.0	2342.0	285.0	92.0	1115.0	310.0	290.0	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Raphid-pennate; Cymbella
JN098210.1.1538	33.0	205.0	0.0	218.0	196.0	234.0	136.0	151.0	140.0	242.0	123.0	191.0	562.0	2005.0	1811.0	224.0	494.0	715.0	311.0	341.0	385.0	0.0	73.0	0.0	46.0	59.0	0.0	0.0	84.0	94.0	216.0	0.0	150.0	429.0	0.0	0.0	134.0	19.0	8.0	169.0	642.0	294.0	1897.0	978.0	3888.0	0.0	0.0	19.0	247.0	1260.0	2179.0	1961.0	0.0	0.0	2012.0	119.0	662.0	Eukaryota; Alveolata; Dinophyta; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Alexandrium; Alexandrium_fundyense-GroupI
AY532350.1.1757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	7916.0	10955.0	115.0	0.0	0.0	0.0	0.0	10.0	0.0	504.0	353.0	309.0	4362.0	0.0	0.0	6.0	12.0	3.0	0.0	20.0	26.0	33.0	73.0	56.0	24.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa; Annelida; Annelida_X; Annelida_XX; Thoracophelia; Thoracophelia_mucronata
AF274250.1.1755	0.0	0.0	0.0	12.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	29.0	174.0	8048.0	11135.0	11794.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	Eukaryota; Alveolata; Dinophyta; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Amphidinium; Amphidinium_asymmetricum
AY377635.1.1770	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	17.0	48.0	31.0	0.0	0.0	0.0	44.0	54.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1259.0	6741.0	2003.0	9668.0	7214.0	6814.0	1623.0	744.0	5515.0	1076.0	2778.0	Eukaryota; Opisthokonta; Metazoa; Mollusca; Polyplacophora; Polyplacophora_X
JQ045338.1.1716	461.0	364.0	71.0	133.0	264.0	383.0	83.0	64.0	105.0	101.0	83.0	111.0	196.0	288.0	204.0	276.0	321.0	319.0	490.0	550.0	393.0	26.0	55.0	0.0	63.0	131.0	56.0	43.0	43.0	41.0	269.0	195.0	190.0	307.0	345.0	267.0	243.0	478.0	514.0	162.0	481.0	707.0	1070.0	331.0	388.0	654.0	212.0	1591.0	405.0	2047.0	378.0	699.0	217.0	74.0	672.0	99.0	305.0	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Raphid-pennate; Navicula
AY732222.1.1687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	1775.0	960.0	5426.0	2709.0	2892.0	957.0	278.0	3193.0	545.0	1334.0	Eukaryota; Opisthokonta; Metazoa; Annelida; Annelida_X; Annelida_XX; Schizobranchia; Schizobranchia_insignis
AF282909.1.1737	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	29.0	7.0	5.0	8.0	5.0	0.0	0.0	3.0	0.0	2.0	0.0	5.0	13.0	5.0	20.0	76.0	47.0	32.0	59.0	107.0	115.0	200.0	63.0	65.0	1003.0	404.0	465.0	220.0	955.0	1999.0	1479.0	645.0	1426.0	1112.0	950.0	304.0	1447.0	618.0	1213.0	Eukaryota; Opisthokonta; Fungi; Ascomycota; Pezizomycotina; Lichinomycetes; Lichina; Lichina_pygmaea
AB714746.1.1777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	13.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	37.0	59.0	23.0	62.0	79.0	84.0	100.0	47.0	49.0	705.0	298.0	249.0	136.0	960.0	2376.0	1474.0	685.0	1480.0	1001.0	1083.0	504.0	1687.0	638.0	1071.0	Eukaryota; Opisthokonta; Metazoa; Mollusca; Bivalvia; Heteroconchia; Lasaea
HQ912596.1.1731	86.0	39.0	0.0	60.0	84.0	158.0	23.0	46.0	75.0	91.0	46.0	91.0	216.0	232.0	190.0	296.0	397.0	371.0	345.0	350.0	356.0	33.0	25.0	0.0	153.0	181.0	129.0	72.0	65.0	94.0	176.0	153.0	104.0	183.0	419.0	457.0	381.0	645.0	587.0	213.0	665.0	715.0	1021.0	421.0	489.0	617.0	154.0	1158.0	215.0	1243.0	273.0	767.0	113.0	78.0	390.0	81.0	145.0	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Raphid-pennate
KM116114.1.1579	249.0	262.0	141.0	138.0	354.0	258.0	86.0	84.0	154.0	148.0	55.0	112.0	176.0	420.0	256.0	172.0	255.0	298.0	341.0	568.0	358.0	118.0	65.0	31.0	162.0	161.0	111.0	47.0	81.0	77.0	281.0	385.0	204.0	545.0	227.0	261.0	276.0	468.0	478.0	150.0	421.0	622.0	1147.0	1123.0	1320.0	1385.0	240.0	810.0	216.0	1200.0	434.0	921.0	146.0	68.0	651.0	80.0	264.0	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Raphid-pennate
AY232600.1.1785	0.0	0.0	0.0	0.0	0.0	12.0	10.0	0.0	8.0	0.0	5.0	12.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	17.0	15.0	14.0	36.0	33.0	12.0	25.0	11962.0	46.0	47.0	20.0	29.0	10.0	47.0	17.0	61.0	42.0	24.0	49.0	0.0	74.0	7.0	21.0	Eukaryota; Stramenopiles; Ochrophyta; Phaeophyceae; Phaeophyceae_X; Phaeophyceae_XX; Ectocarpus; Ectocarpus_siliculosus
AY763124.1.1290	0.0	0.0	0.0	0.0	0.0	0.0	797.0	1049.0	2720.0	3379.0	2277.0	1752.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa; Nematoda; Enoplea; Enoplea_X; Oncholaimidae; Oncholaimidae_sp.
AY256254.1.1223	0.0	0.0	0.0	68.0	115.0	119.0	38.0	0.0	51.0	48.0	29.0	35.0	97.0	106.0	62.0	234.0	320.0	285.0	213.0	83.0	157.0	0.0	0.0	3.0	117.0	137.0	44.0	42.0	39.0	37.0	103.0	49.0	98.0	187.0	471.0	395.0	264.0	455.0	426.0	195.0	643.0	909.0	1038.0	82.0	145.0	60.0	259.0	869.0	173.0	820.0	104.0	130.0	0.0	20.0	547.0	0.0	64.0	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Raphid-pennate; Navicula
AY527062.1.1823	0.0	0.0	0.0	0.0	9.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	8.0	0.0	0.0	14.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	798.0	252.0	2467.0	1491.0	1520.0	402.0	292.0	1363.0	217.0	981.0	Eukaryota; Opisthokonta; Metazoa; Mollusca; Bivalvia; Mytiloida; Mytilus
JQ798551.1.1717	418.0	0.0	7.0	740.0	482.0	1936.0	0.0	87.0	0.0	0.0	0.0	27.0	168.0	272.0	0.0	335.0	7.0	0.0	1672.0	705.0	219.0	13.0	63.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	8.0	0.0	44.0	0.0	0.0	243.0	533.0	5.0	0.0	539.0	309.0	75.0	2011.0	0.0	28.0	0.0	0.0	2085.0	0.0	0.0	999.0	18.0	0.0	0.0	0.0	0.0	52.0	Eukaryota; Opisthokonta; Metazoa; Gastrotricha; Gastrotricha_X; Gastrotricha_XX; Halichaetonotus; Halichaetonotus_sp.
AY577892.1.1690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	0.0	14.0	12.0	14.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	16.0	10.0	0.0	0.0	217.0	1123.0	149.0	1543.0	1258.0	1611.0	319.0	124.0	1465.0	184.0	674.0	Eukaryota; Opisthokonta; Metazoa; Annelida; Annelida_X; Annelida_XX
JN936473.1.1837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.0	1329.0	582.0	1413.0	760.0	943.0	488.0	70.0	895.0	132.0	335.0	Eukaryota; Opisthokonta; Metazoa; Annelida; Annelida_X; Annelida_XX; Thelepus; Thelepus_crispus
EU418855.1.1778	0.0	0.0	0.0	0.0	30.0	24.0	20.0	1229.0	34.0	1893.0	0.0	2608.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	28.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa
FJ612488.1.1802	0.0	3.0	0.0	0.0	7.0	3.0	16.0	37.0	814.0	299.0	366.0	234.0	560.0	334.0	165.0	450.0	657.0	813.0	169.0	128.0	214.0	0.0	0.0	0.0	60.0	140.0	43.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	347.0	9.0	18.0	11.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa; Annelida; Annelida_X; Annelida_XX; Scoloplos; Scoloplos_acmeceps
KR265032.1.1623	0.0	0.0	5634.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa; Nematoda; Enoplea; Enoplea_X; Trissonchulus; Trissonchulus_sp.
AB013014.1.1755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	30.0	44.0	793.0	937.0	238.0	236.0	129.0	1194.0	811.0	509.0	194.0	0.0	0.0	0.0	60.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; Opisthokonta; Metazoa; Urochordata; Urochordata_X; Appendicularia; Oikopleura; Oikopleura_dioica
AM901346.1.1672	0.0	8.0	0.0	0.0	19.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	2552.0	2737.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	287.0	55.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	14.0	7.0	52.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	Eukaryota; Hacrobia; Cryptophyta; Cryptophyceae; Cryptophyceae_X; Cryptomonadales; Chroomonas
